Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2020/12/20, 18:00:00, 3706.75, 3710.00, 3706.25, 3709.25, 1953, 1433, 863, 1090
2020/12/20, 18:05:00, 3709.25, 3711.50, 3709.00, 3709.50, 1566, 1162, 860, 706
2020/12/20, 18:10:00, 3709.75, 3710.00, 3706.25, 3707.50, 1252, 1019, 735, 517
2020/12/20, 18:15:00, 3707.25, 3707.75, 3700.00, 3702.50, 4627, 3434, 2780, 1847
2020/12/20, 18:20:00, 3702.50, 3702.75, 3700.75, 3702.00, 1363, 1148, 731, 632
2020/12/20, 18:25:00, 3702.25, 3703.50, 3699.25, 3699.25, 1766, 1335, 1163, 603
2020/12/20, 18:30:00, 3699.25, 3702.75, 3699.25, 3702.50, 1195, 960, 481, 714
2020/12/20, 18:35:00, 3702.50, 3704.00, 3701.75, 3703.50, 872, 703, 375, 497
2020/12/20, 18:40:00, 3703.25, 3704.00, 3702.25, 3703.00, 803, 587, 415, 388
2020/12/20, 18:45:00, 3703.00, 3706.00, 3701.50, 3705.25, 1656, 1283, 808, 848
2020/12/20, 18:50:00, 3705.00, 3707.50, 3704.75, 3707.00, 1425, 1042, 748, 677
2020/12/20, 18:55:00, 3706.75, 3707.50, 3705.00, 3706.25, 1466, 992, 793, 673
2020/12/20, 19:00:00, 3706.00, 3711.50, 3705.25, 3711.00, 3439, 2335, 1500, 1939
2020/12/20, 19:05:00, 3711.00, 3711.25, 3707.50, 3707.75, 1873, 1372, 1039, 834
2020/12/20, 19:10:00, 3708.00, 3709.00, 3707.25, 3708.00, 797, 669, 365, 432
2020/12/20, 19:15:00, 3708.25, 3708.25, 3705.75, 3707.25, 1246, 974, 687, 559
2020/12/20, 19:20:00, 3707.25, 3707.50, 3704.25, 3704.50, 994, 843, 545, 449
2020/12/20, 19:25:00, 3704.50, 3705.50, 3703.75, 3703.75, 622, 540, 306, 316
2020/12/20, 19:30:00, 3703.75, 3704.00, 3700.75, 3701.50, 1602, 1190, 905, 697
2020/12/20, 19:35:00, 3701.25, 3701.50, 3699.25, 3700.50, 1507, 1182, 830, 677
2020/12/20, 19:40:00, 3700.25, 3701.75, 3698.00, 3699.50, 3168, 2328, 1961, 1207
2020/12/20, 19:45:00, 3699.50, 3700.00, 3698.00, 3698.25, 1591, 1243, 887, 704
2020/12/20, 19:50:00, 3698.25, 3699.00, 3697.00, 3698.25, 2101, 1379, 1362, 739
2020/12/20, 19:55:00, 3698.50, 3701.75, 3698.00, 3700.25, 1731, 1402, 842, 889
2020/12/20, 20:00:00, 3700.00, 3703.50, 3699.75, 3703.25, 1275, 990, 591, 684
2020/12/20, 20:05:00, 3703.00, 3703.75, 3702.00, 3702.75, 998, 770, 533, 465
