Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2023/6/19, 00:00:00, 4447.75, 4447.75, 4447.00, 4447.50, 410, 287, 240, 170
2023/6/19, 00:05:00, 4447.50, 4448.75, 4447.50, 4448.50, 383, 286, 153, 230
2023/6/19, 00:10:00, 4448.50, 4449.75, 4448.25, 4448.75, 291, 227, 140, 151
2023/6/19, 00:15:00, 4448.75, 4448.75, 4448.00, 4448.50, 156, 131, 98, 58
2023/6/19, 00:20:00, 4448.50, 4450.00, 4448.25, 4449.50, 510, 387, 238, 272
2023/6/19, 00:25:00, 4449.50, 4449.75, 4448.75, 4449.75, 211, 166, 127, 84
2023/6/19, 00:30:00, 4450.00, 4451.25, 4450.00, 4451.25, 375, 303, 157, 218
2023/6/19, 00:35:00, 4451.25, 4451.50, 4450.75, 4451.25, 357, 281, 194, 163
2023/6/19, 00:40:00, 4451.25, 4453.00, 4451.25, 4453.00, 647, 493, 266, 381
2023/6/19, 00:45:00, 4452.75, 4453.25, 4452.50, 4453.00, 458, 357, 250, 208
2023/6/19, 00:50:00, 4453.00, 4453.25, 4452.50, 4452.50, 194, 143, 122, 72
2023/6/19, 00:55:00, 4452.75, 4453.50, 4452.50, 4453.25, 496, 374, 252, 244
2023/6/19, 01:00:00, 4453.25, 4453.75, 4452.00, 4452.50, 696, 481, 352, 344
2023/6/19, 01:05:00, 4452.50, 4453.00, 4452.25, 4452.75, 391, 279, 148, 243
2023/6/19, 01:10:00, 4452.75, 4454.50, 4452.50, 4454.25, 616, 459, 246, 370
2023/6/19, 01:15:00, 4454.25, 4454.25, 4453.50, 4454.00, 238, 182, 143, 95
2023/6/19, 01:20:00, 4453.75, 4453.75, 4452.50, 4453.25, 276, 228, 146, 130
2023/6/19, 01:25:00, 4453.25, 4454.00, 4452.25, 4452.25, 397, 306, 198, 199
2023/6/19, 01:30:00, 4452.50, 4452.75, 4451.75, 4452.25, 284, 217, 130, 154
2023/6/19, 01:35:00, 4452.25, 4453.25, 4452.25, 4453.00, 240, 188, 110, 130
2023/6/19, 01:40:00, 4453.25, 4454.25, 4452.75, 4452.75, 536, 392, 259, 277
2023/6/19, 01:45:00, 4453.00, 4453.00, 4452.50, 4452.50, 199, 169, 116, 83
2023/6/19, 01:50:00, 4452.50, 4453.50, 4452.50, 4452.75, 452, 324, 230, 222
2023/6/19, 01:55:00, 4453.00, 4453.75, 4452.50, 4452.75, 526, 418, 299, 227
2023/6/19, 02:00:00, 4453.00, 4454.00, 4450.75, 4452.75, 1757, 1398, 928, 829
2023/6/19, 02:05:00, 4452.50, 4454.50, 4451.50, 4454.00, 1244, 983, 600, 644
2023/6/19, 02:10:00, 4454.00, 4456.00, 4453.75, 4455.50, 1174, 990, 573, 601
2023/6/19, 02:15:00, 4455.25, 4455.75, 4454.00, 4455.50, 1139, 927, 545, 594
2023/6/19, 02:20:00, 4455.50, 4455.75, 4454.50, 4455.25, 845, 677, 488, 357
2023/6/19, 02:25:00, 4455.25, 4458.00, 4455.25, 4457.00, 1385, 1046, 644, 741
2023/6/19, 02:30:00, 4457.00, 4459.50, 4456.50, 4459.50, 1732, 1251, 783, 949
2023/6/19, 02:35:00, 4459.75, 4460.75, 4458.25, 4459.00, 2442, 1558, 1238, 1204
2023/6/19, 02:40:00, 4459.00, 4459.50, 4457.00, 4457.25, 1044, 774, 514, 530
2023/6/19, 02:45:00, 4457.25, 4457.50, 4455.25, 4456.00, 1266, 886, 738, 528
2023/6/19, 02:50:00, 4455.75, 4457.00, 4455.25, 4456.50, 2114, 1078, 796, 1318
2023/6/19, 02:55:00, 4456.50, 4456.75, 4453.50, 4453.75, 1733, 928, 1053, 680
2023/6/19, 03:00:00, 4453.75, 4454.00, 4452.25, 4453.00, 1425, 977, 692, 733
2023/6/19, 03:05:00, 4452.75, 4455.00, 4452.50, 4454.75, 1018, 741, 412, 606
2023/6/19, 03:10:00, 4454.75, 4455.75, 4454.25, 4454.75, 513, 395, 252, 261
2023/6/19, 03:15:00, 4454.75, 4455.00, 4453.75, 4454.00, 422, 319, 204, 218
2023/6/19, 03:20:00, 4453.75, 4453.75, 4451.25, 4453.25, 793, 614, 451, 342
2023/6/19, 03:25:00, 4453.25, 4453.50, 4451.75, 4452.25, 618, 466, 348, 270
2023/6/19, 03:30:00, 4452.25, 4453.50, 4451.50, 4452.25, 505, 418, 285, 220
2023/6/19, 03:35:00, 4452.25, 4452.50, 4450.25, 4450.50, 744, 616, 387, 357
2023/6/19, 03:40:00, 4450.75, 4452.50, 4450.75, 4452.00, 640, 504, 311, 329
2023/6/19, 03:45:00, 4452.00, 4452.00, 4450.00, 4451.00, 987, 624, 561, 426
2023/6/19, 03:50:00, 4451.25, 4452.50, 4451.00, 4451.75, 649, 449, 316, 333
2023/6/19, 03:55:00, 4451.75, 4452.75, 4451.25, 4452.25, 792, 522, 385, 407
2023/6/19, 04:00:00, 4452.00, 4452.25, 4450.75, 4450.75, 655, 485, 376, 279
2023/6/19, 04:05:00, 4450.75, 4452.25, 4450.75, 4452.00, 903, 598, 437, 466
2023/6/19, 04:10:00, 4451.75, 4452.25, 4450.50, 4451.50, 918, 668, 382, 536
2023/6/19, 04:15:00, 4451.25, 4451.75, 4451.00, 4451.50, 627, 466, 298, 329
2023/6/19, 04:20:00, 4451.50, 4453.75, 4451.25, 4453.25, 1619, 844, 660, 959
2023/6/19, 04:25:00, 4453.25, 4453.75, 4452.75, 4453.50, 808, 575, 328, 480
2023/6/19, 04:30:00, 4453.50, 4454.00, 4452.75, 4454.00, 528, 365, 234, 294
2023/6/19, 04:35:00, 4454.00, 4454.50, 4453.00, 4453.25, 442, 318, 238, 204
2023/6/19, 04:40:00, 4453.00, 4454.00, 4452.25, 4454.00, 405, 316, 209, 196
2023/6/19, 04:45:00, 4454.00, 4454.50, 4454.00, 4454.25, 484, 359, 164, 320
2023/6/19, 04:50:00, 4454.50, 4455.75, 4454.25, 4455.00, 426, 364, 129, 297
2023/6/19, 04:55:00, 4455.00, 4455.50, 4454.00, 4454.75, 434, 366, 235, 199
2023/6/19, 05:00:00, 4454.75, 4455.25, 4453.50, 4453.75, 587, 400, 340, 247
2023/6/19, 05:05:00, 4453.50, 4454.25, 4453.00, 4454.25, 568, 420, 257, 311
2023/6/19, 05:10:00, 4454.50, 4454.75, 4453.00, 4453.25, 473, 376, 260, 213
2023/6/19, 05:15:00, 4453.25, 4453.25, 4451.75, 4452.25, 498, 418, 293, 205
2023/6/19, 05:20:00, 4452.25, 4453.25, 4452.00, 4452.75, 469, 346, 207, 262
2023/6/19, 05:25:00, 4452.75, 4453.50, 4452.50, 4453.25, 342, 259, 155, 187
2023/6/19, 05:30:00, 4453.00, 4454.25, 4452.75, 4454.00, 661, 417, 349, 312
2023/6/19, 05:35:00, 4453.75, 4453.75, 4452.00, 4452.50, 452, 336, 316, 136
2023/6/19, 05:40:00, 4452.50, 4452.75, 4451.00, 4451.00, 353, 300, 185, 168
2023/6/19, 05:45:00, 4451.25, 4451.75, 4450.75, 4450.75, 424, 322, 205, 219
2023/6/19, 05:50:00, 4450.75, 4451.25, 4450.00, 4450.00, 617, 478, 389, 228
2023/6/19, 05:55:00, 4450.25, 4450.75, 4449.50, 4450.75, 627, 486, 325, 302
2023/6/19, 06:00:00, 4450.50, 4451.25, 4449.00, 4451.00, 1116, 838, 601, 515
2023/6/19, 06:05:00, 4451.00, 4451.25, 4449.75, 4450.75, 426, 322, 187, 239
2023/6/19, 06:10:00, 4450.75, 4450.75, 4449.25, 4449.50, 454, 374, 244, 210
2023/6/19, 06:15:00, 4449.50, 4451.50, 4449.50, 4451.25, 398, 341, 134, 264
2023/6/19, 06:20:00, 4451.25, 4451.50, 4450.75, 4451.00, 339, 257, 225, 114
2023/6/19, 06:25:00, 4451.00, 4452.00, 4450.50, 4451.75, 270, 224, 91, 179
2023/6/19, 06:30:00, 4451.75, 4452.00, 4450.50, 4450.50, 426, 344, 258, 168
2023/6/19, 06:35:00, 4450.75, 4451.00, 4450.50, 4450.50, 143, 124, 70, 73
2023/6/19, 06:40:00, 4450.50, 4450.75, 4448.75, 4449.00, 722, 500, 434, 288
2023/6/19, 06:45:00, 4449.25, 4450.00, 4448.25, 4449.00, 951, 697, 537, 414
2023/6/19, 06:50:00, 4448.75, 4449.00, 4447.75, 4448.75, 676, 412, 460, 216
2023/6/19, 06:55:00, 4448.50, 4449.25, 4448.25, 4449.00, 339, 282, 126, 213
2023/6/19, 07:00:00, 4449.00, 4449.00, 4448.25, 4448.50, 274, 234, 148, 126
2023/6/19, 07:05:00, 4448.25, 4448.25, 4446.25, 4446.75, 1191, 908, 805, 386
2023/6/19, 07:10:00, 4446.75, 4449.25, 4446.75, 4448.50, 774, 593, 317, 457
2023/6/19, 07:15:00, 4448.50, 4449.00, 4446.75, 4446.75, 610, 439, 352, 258
2023/6/19, 07:20:00, 4446.50, 4448.00, 4446.50, 4447.50, 547, 426, 231, 316
2023/6/19, 07:25:00, 4447.50, 4448.00, 4447.25, 4447.50, 518, 398, 304, 214
2023/6/19, 07:30:00, 4447.50, 4449.00, 4447.25, 4448.25, 544, 459, 256, 288
2023/6/19, 07:35:00, 4448.50, 4449.25, 4448.00, 4448.75, 592, 426, 343, 249
2023/6/19, 07:40:00, 4448.50, 4448.75, 4448.25, 4448.25, 258, 185, 144, 114
2023/6/19, 07:45:00, 4448.25, 4449.50, 4448.25, 4449.25, 359, 288, 168, 191
2023/6/19, 07:50:00, 4448.75, 4450.00, 4448.75, 4449.75, 520, 407, 263, 257
2023/6/19, 07:55:00, 4449.75, 4450.00, 4449.00, 4449.75, 615, 452, 303, 312
2023/6/19, 08:00:00, 4450.00, 4450.00, 4448.75, 4449.25, 500, 410, 262, 238
2023/6/19, 08:05:00, 4449.25, 4449.50, 4448.50, 4449.00, 753, 522, 284, 469
2023/6/19, 08:10:00, 4449.25, 4450.00, 4449.00, 4450.00, 1303, 834, 508, 795
2023/6/19, 08:15:00, 4450.00, 4450.50, 4448.75, 4449.25, 1135, 887, 546, 589
2023/6/19, 08:20:00, 4449.25, 4449.75, 4448.75, 4449.00, 549, 486, 263, 286
2023/6/19, 08:25:00, 4449.00, 4449.50, 4448.25, 4448.25, 774, 598, 441, 333
2023/6/19, 08:30:00, 4448.25, 4448.75, 4446.75, 4447.75, 2624, 2068, 1307, 1317
2023/6/19, 08:35:00, 4447.75, 4448.00, 4444.25, 4445.25, 2574, 1948, 1459, 1115
2023/6/19, 08:40:00, 4445.50, 4446.25, 4444.50, 4445.50, 1534, 1260, 766, 768
2023/6/19, 08:45:00, 4445.50, 4446.00, 4444.75, 4445.75, 1598, 1266, 802, 796
2023/6/19, 08:50:00, 4445.75, 4446.75, 4445.75, 4445.75, 1181, 959, 574, 607
2023/6/19, 08:55:00, 4445.75, 4446.25, 4444.75, 4444.75, 1218, 941, 674, 544
2023/6/19, 09:00:00, 4445.00, 4445.25, 4444.25, 4445.00, 2144, 1531, 1059, 1085
2023/6/19, 09:05:00, 4445.00, 4445.75, 4444.50, 4445.50, 1528, 1246, 664, 864
2023/6/19, 09:10:00, 4445.75, 4445.75, 4443.00, 4443.50, 2347, 1750, 1240, 1107
2023/6/19, 09:15:00, 4443.50, 4445.00, 4443.50, 4444.75, 1308, 974, 573, 735
2023/6/19, 09:20:00, 4444.75, 4446.00, 4444.25, 4446.00, 1330, 932, 571, 759
2023/6/19, 09:25:00, 4446.00, 4447.00, 4445.75, 4446.25, 794, 634, 358, 436
2023/6/19, 09:30:00, 4446.25, 4446.50, 4444.25, 4444.50, 1039, 874, 591, 448
2023/6/19, 09:35:00, 4444.50, 4445.00, 4444.25, 4444.75, 758, 601, 353, 405
2023/6/19, 09:40:00, 4444.75, 4445.75, 4444.75, 4445.50, 1010, 607, 410, 600
2023/6/19, 09:45:00, 4445.75, 4446.00, 4445.00, 4445.50, 876, 680, 465, 411
2023/6/19, 09:50:00, 4445.50, 4447.00, 4445.50, 4446.00, 1107, 794, 498, 609
2023/6/19, 09:55:00, 4446.00, 4446.00, 4444.50, 4444.75, 1282, 920, 761, 521
2023/6/19, 10:00:00, 4445.00, 4445.75, 4444.25, 4445.50, 1167, 848, 564, 603
2023/6/19, 10:05:00, 4445.50, 4445.50, 4444.75, 4444.75, 1383, 847, 579, 804
2023/6/19, 10:10:00, 4444.75, 4445.75, 4444.50, 4445.50, 663, 483, 279, 384
2023/6/19, 10:15:00, 4445.50, 4446.75, 4445.50, 4446.25, 889, 659, 316, 573
2023/6/19, 10:20:00, 4446.50, 4446.50, 4446.00, 4446.25, 348, 279, 148, 200
2023/6/19, 10:25:00, 4446.25, 4446.25, 4445.25, 4445.25, 1178, 797, 681, 497
2023/6/19, 10:30:00, 4445.50, 4446.00, 4444.75, 4445.50, 1520, 1129, 677, 843
2023/6/19, 10:35:00, 4445.50, 4447.25, 4445.50, 4446.50, 1353, 961, 540, 813
2023/6/19, 10:40:00, 4446.75, 4447.50, 4446.50, 4447.25, 611, 431, 195, 416
2023/6/19, 10:45:00, 4447.25, 4448.00, 4447.00, 4447.50, 1070, 681, 603, 467
2023/6/19, 10:50:00, 4447.50, 4447.75, 4447.00, 4447.50, 797, 517, 355, 442
2023/6/19, 10:55:00, 4447.25, 4448.00, 4447.25, 4447.75, 601, 346, 223, 378
2023/6/19, 11:00:00, 4448.00, 4448.75, 4447.75, 4448.25, 790, 506, 426, 364
2023/6/19, 11:05:00, 4448.50, 4448.75, 4447.50, 4448.00, 713, 506, 410, 303
2023/6/19, 11:10:00, 4447.75, 4448.00, 4447.25, 4447.50, 366, 280, 249, 117
2023/6/19, 11:15:00, 4447.50, 4448.25, 4447.50, 4448.00, 397, 259, 155, 242
2023/6/19, 11:20:00, 4448.25, 4448.25, 4447.75, 4448.00, 289, 199, 133, 156
2023/6/19, 11:25:00, 4448.25, 4448.50, 4447.25, 4447.75, 588, 446, 302, 286
2023/6/19, 11:30:00, 4448.00, 4448.50, 4447.50, 4447.75, 507, 374, 289, 218
2023/6/19, 11:35:00, 4447.50, 4448.00, 4447.50, 4448.00, 255, 173, 105, 150
