Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/9/23, 00:00:00, 5779.75, 5779.75, 5777.50, 5778.00, 481, 404, 268, 213
2024/9/23, 00:05:00, 5778.00, 5778.25, 5777.25, 5777.50, 335, 260, 187, 148
2024/9/23, 00:10:00, 5777.25, 5778.00, 5775.75, 5776.25, 449, 373, 268, 181
2024/9/23, 00:15:00, 5776.25, 5777.00, 5775.75, 5776.75, 440, 352, 222, 218
2024/9/23, 00:20:00, 5776.75, 5777.25, 5776.50, 5777.00, 134, 119, 59, 75
2024/9/23, 00:25:00, 5777.25, 5777.50, 5776.75, 5777.50, 183, 169, 78, 105
2024/9/23, 00:30:00, 5777.50, 5777.50, 5777.00, 5777.25, 154, 135, 65, 89
2024/9/23, 00:35:00, 5777.50, 5778.00, 5777.25, 5778.00, 269, 231, 107, 162
2024/9/23, 00:40:00, 5778.00, 5778.00, 5776.25, 5776.50, 352, 270, 197, 155
2024/9/23, 00:45:00, 5776.50, 5777.75, 5776.25, 5777.50, 221, 177, 100, 121
2024/9/23, 00:50:00, 5777.50, 5777.75, 5775.75, 5776.00, 345, 259, 222, 123
2024/9/23, 00:55:00, 5776.25, 5776.25, 5774.25, 5775.00, 786, 558, 417, 369
2024/9/23, 01:00:00, 5775.00, 5775.00, 5772.00, 5772.50, 1134, 866, 701, 433
2024/9/23, 01:05:00, 5772.75, 5773.00, 5771.25, 5771.75, 557, 431, 301, 256
2024/9/23, 01:10:00, 5771.50, 5772.75, 5770.50, 5772.50, 680, 509, 289, 391
2024/9/23, 01:15:00, 5772.75, 5772.75, 5771.50, 5771.50, 544, 398, 286, 258
2024/9/23, 01:20:00, 5771.75, 5773.25, 5771.50, 5772.00, 881, 700, 420, 461
2024/9/23, 01:25:00, 5771.75, 5773.25, 5771.75, 5773.25, 375, 314, 174, 201
2024/9/23, 01:30:00, 5773.00, 5773.50, 5772.50, 5773.00, 374, 314, 210, 164
2024/9/23, 01:35:00, 5773.00, 5773.25, 5771.75, 5772.00, 349, 292, 190, 159
2024/9/23, 01:40:00, 5772.00, 5772.75, 5772.00, 5772.75, 255, 212, 121, 134
2024/9/23, 01:45:00, 5772.75, 5773.50, 5772.50, 5772.75, 346, 264, 174, 172
2024/9/23, 01:50:00, 5772.50, 5772.50, 5771.50, 5771.75, 243, 194, 123, 120
2024/9/23, 01:55:00, 5771.75, 5771.75, 5770.00, 5770.25, 477, 375, 319, 158
2024/9/23, 02:00:00, 5770.50, 5770.75, 5763.50, 5764.50, 2859, 2313, 1663, 1196
2024/9/23, 02:05:00, 5764.75, 5764.75, 5761.00, 5761.50, 2206, 1829, 1169, 1037
2024/9/23, 02:10:00, 5761.50, 5762.00, 5757.00, 5758.75, 2112, 1772, 1176, 936
2024/9/23, 02:15:00, 5758.75, 5758.75, 5745.25, 5747.50, 8259, 6381, 4433, 3826
2024/9/23, 02:20:00, 5747.25, 5751.50, 5746.50, 5750.25, 3286, 2736, 1524, 1762
2024/9/23, 02:25:00, 5750.25, 5756.50, 5750.00, 5755.50, 1661, 1453, 837, 824
2024/9/23, 02:30:00, 5755.50, 5758.75, 5752.50, 5755.00, 2835, 2295, 1381, 1454
2024/9/23, 02:35:00, 5755.25, 5760.75, 5754.75, 5760.50, 1611, 1342, 783, 828
2024/9/23, 02:40:00, 5760.50, 5761.75, 5759.50, 5760.50, 1591, 1279, 831, 760
2024/9/23, 02:45:00, 5760.75, 5761.75, 5759.25, 5760.75, 836, 771, 482, 354
2024/9/23, 02:50:00, 5760.75, 5763.25, 5760.25, 5763.00, 1311, 1134, 629, 682
2024/9/23, 02:55:00, 5763.00, 5765.00, 5762.50, 5764.50, 820, 694, 424, 396
2024/9/23, 03:00:00, 5764.75, 5767.25, 5764.00, 5764.00, 2711, 2221, 1408, 1303
2024/9/23, 03:05:00, 5764.25, 5765.50, 5763.00, 5763.75, 1589, 1378, 808, 781
2024/9/23, 03:10:00, 5764.00, 5766.25, 5761.00, 5762.50, 2354, 1926, 1157, 1197
