Date;Time;Sequence;DepthSequence;Price;Volume;TradeType;AskPrice;BidPrice;AskSize;BidSize;TotalAskDepth;TotalBidDepth;AskDOMPrice;BidDOMPrice;AskDOM_0;BidDOM_0;AskDOM_1;BidDOM_1;AskDOM_2;BidDOM_2;AskDOM_3;BidDOM_3;AskDOM_4;BidDOM_4;AskDOM_5;BidDOM_5;AskDOM_6;BidDOM_6;AskDOM_7;BidDOM_7;AskDOM_8;BidDOM_8;AskDOM_9;BidDOM_9;AskDOM_10;BidDOM_10;AskDOM_11;BidDOM_11;AskDOM_12;BidDOM_12;AskDOM_13;BidDOM_13;AskDOM_14;BidDOM_14;AskDOM_15;BidDOM_15;AskDOM_16;BidDOM_16;AskDOM_17;BidDOM_17;AskDOM_18;BidDOM_18;AskDOM_19;BidDOM_19;AskDOM_20;BidDOM_20;AskDOM_21;BidDOM_21;AskDOM_22;BidDOM_22;AskDOM_23;BidDOM_23;AskDOM_24;BidDOM_24;AskDOM_25;BidDOM_25;AskDOM_26;BidDOM_26;AskDOM_27;BidDOM_27;AskDOM_28;BidDOM_28;AskDOM_29;BidDOM_29;AskDOM_30;BidDOM_30;AskDOM_31;BidDOM_31;AskDOM_32;BidDOM_32;AskDOM_33;BidDOM_33;AskDOM_34;BidDOM_34;AskDOM_35;BidDOM_35;AskDOM_36;BidDOM_36;AskDOM_37;BidDOM_37;AskDOM_38;BidDOM_38;AskDOM_39;BidDOM_39
2022-01-24;13:30:00.5000;2314222;2314221;4347.75;1;2;4347.75;4347.5;12;34;331;332;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
2022-01-24;13:30:00.5001;2314223;2314221;4347.75;3;2;4347.75;4347.5;12;34;331;332;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
2022-01-24;13:30:00.5002;2314225;2314224;4347.75;1;2;4347.75;4347.5;8;34;324;332;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
2022-01-24;13:30:00.5003;2314226;2314224;4347.75;1;2;4347.75;4347.5;8;34;324;332;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
2022-01-24;13:30:00.5004;2314227;2314224;4347.75;1;2;4347.75;4347.5;8;34;324;332;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
2022-01-24;13:30:00.5005;2314229;2314228;4347.75;1;2;4347.75;4347.5;4;34;320;332;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
2022-01-24;13:30:00.5006;2314231;2314230;4347.75;2;2;4347.75;4347.5;3;34;319;332;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
2022-01-24;13:30:00.5007;2314232;2314230;4347.75;1;2;4347.75;4347.5;3;34;319;332;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
2022-01-24;13:30:00.6000;2314235;2314234;4347.75;1;2;4347.75;4347.5;3;34;319;332;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
2022-01-24;13:30:00.6001;2314237;2314236;4347.75;1;2;4347.75;4347.5;2;34;318;332;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
2022-01-24;13:30:00.6002;2314239;2314238;4347.75;1;2;4347.75;4347.5;1;34;317;332;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
2022-01-24;13:30:00.47000;2314246;2314245;4347.5;1;1;4348;4347.5;66;36;361;334;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
2022-01-24;13:30:00.107000;2314251;2314250;4347.75;1;2;4347.75;4347.5;3;36;322;334;4347.75;4347.5;11;35;60;25;34;23;20;24;27;29;30;32;35;46;34;34;30;33;42;53;44;51;33;34;42;41;35;45;44;61;40;40;47;57;54;47;43;64;35;44;39;57;57;55;47;121;62;72;57;79;72;86;49;103;57;66;46;68;53;72;53;176;52;69;47;72;61;70;51;72;51;69;51;68;49;65;44;108;50;77
